name	revision	checkout	dirty
nanopb	7307ce399b81ddcb3c3a5dc862c52d4754328d38	7307ce399b81ddcb3c3a5dc862c52d4754328d38	False
psa-arch-tests	2cadb02a72eacda7042505dcbdd492371e8ce024	2cadb02a72eacda7042505dcbdd492371e8ce024	False
sof	bc08c9c606324cfba0c104f4ffaf5dd456cb11d6	bc08c9c606324cfba0c104f4ffaf5dd456cb11d6	False
tf-m-tests	502ea90105ee18f20c78f710e2ba2ded0fc0756e	502ea90105ee18f20c78f710e2ba2ded0fc0756e	False
tflite-micro	8d404de73acf7687831e16d88e86e4f73cfddf8e	8d404de73acf7687831e16d88e86e4f73cfddf8e	False
thrift	10023645a0e6cb7ce23fcd7fd3dbac9f18df6234	10023645a0e6cb7ce23fcd7fd3dbac9f18df6234	False
zephyr-lang-rust	37dc7fac3fb0372bc0e78e022bef87fcce68c48d	37dc7fac3fb0372bc0e78e022bef87fcce68c48d	False
zscilib	ee1b287d9dd07208d2cc52284240ac25bb66eae3	ee1b287d9dd07208d2cc52284240ac25bb66eae3	False
acpica	8d24867bc9c9d81c81eeac59391cda59333affd4	8d24867bc9c9d81c81eeac59391cda59333affd4	False
babblesim_base	153101c61ce7106f6ba8b108b5c6488efdc1151a	NOT_CHECKED_OUT	-
babblesim_ext_2G4_channel_NtNcable	20a38c997f507b0aa53817aab3d73a462fff7af1	NOT_CHECKED_OUT	-
babblesim_ext_2G4_channel_multiatt	bde72a57384dde7a4310bcf3843469401be93074	NOT_CHECKED_OUT	-
